Name,Survived
"Panula, Master. Juha Niilo",0
"Crease, Mr. Ernest James",0
"Otter, Mr. Richard",0
"Funk, Miss. Annie Clemmer",0
"Lefebre, Miss. Ida",0
"Weir, Col. John",0
"Staneff, Mr. Ivan",0
"Sloper, Mr. William Thompson",1
"Rush, Mr. Alfred George John",0
"Palsson, Master. Gosta Leonard",0
"Van Impe, Miss. Catharina",0
"Svensson, Mr. Olof",0
"Sharp, Mr. Percival James R",0
"Canavan, Miss. Mary",0
"Somerton, Mr. Francis William",0
"Hewlett, Mrs. (Mary D Kingcome) ",1
"Ling, Mr. Lee",0
"Risien, Mr. Samuel Beard",0
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",1
"Tornquist, Mr. William Henry",1
"Taussig, Miss. Ruth",1
"White, Mr. Richard Frasar",0
"Douglas, Mr. Walter Donald",0
"Ibrahim Shawah, Mr. Yousseff",0
"Petroff, Mr. Nedelio",0
"Yasbeck, Mr. Antoni",0
"Gronnestad, Mr. Daniel Danielsen",0
"Osman, Mrs. Mara",1
"Brewe, Dr. Arthur Jackson",0
"Carr, Miss. Helen ""Ellen""",1
"Murdlin, Mr. Joseph",0
"Kiernan, Mr. Philip",0
"Sage, Miss. Stella Anna",0
"Baclini, Mrs. Solomon (Latifa Qurban)",1
"Christmann, Mr. Emil",0
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1
"Hart, Mr. Benjamin",0
"Jensen, Mr. Hans Peder",0
"Andersen-Jensen, Miss. Carla Christine Nielsine",1
"Carter, Mrs. William Ernest (Lucile Polk)",1
"Dahlberg, Miss. Gerda Ulrika",0
"Clarke, Mrs. Charles V (Ada Maria Winfield)",1
"Isham, Miss. Ann Elizabeth",0
"Lam, Mr. Len",0
"Garfirth, Mr. John",0
"Edvardsson, Mr. Gustaf Hjalmar",0
"Flynn, Mr. John",0
"LeRoy, Miss. Bertha",1
"Arnold-Franchi, Mr. Josef",0
"Emanuel, Miss. Virginia Ethel",1
"Blank, Mr. Henry",1
"Banfield, Mr. Frederick James",0
"Carter, Master. William Thornton II",1
"Goncalves, Mr. Manuel Estanslas",0
"Kelly, Miss. Mary",1
"Danoff, Mr. Yoto",0
"Lindqvist, Mr. Eino William",1
"Gavey, Mr. Lawrence",0
"Barbara, Mrs. (Catherine David)",0
"Sirota, Mr. Maurice",0
"Karlsson, Mr. Nils August",0
"Brown, Miss. Amelia ""Mildred""",1
"Bissette, Miss. Amelia",1
"Ohman, Miss. Velin",1
"Mionoff, Mr. Stoytcho",0
"Bryhl, Mr. Kurt Arnold Gottfrid",0
"Williams, Mr. Charles Duane",0
"Hickman, Mr. Leonard Mark",0
"Lemore, Mrs. (Amelia Milley)",1
"Beckwith, Mr. Richard Leonard",1
"Meek, Mrs. Thomas (Annie Louise Rowley)",0
"Hegarty, Miss. Hanora ""Nora""",0
"O'Leary, Miss. Hanora ""Norah""",1
"Cairns, Mr. Alexander",0
"Maenpaa, Mr. Matti Alexanteri",0
"Skoog, Miss. Margit Elizabeth",0
"Burke, Mr. Jeremiah",0
"Partner, Mr. Austen",0
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",1
"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",0
"Bazzani, Miss. Albina",1
"Andrews, Miss. Kornelia Theodosia",1
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",1
"Norman, Mr. Robert Douglas",0
"Newell, Mr. Arthur Webster",0
"Jansson, Mr. Carl Olof",1
"Asim, Mr. Adola",0
"Eklund, Mr. Hans Linus",0
"Lesurer, Mr. Gustave J",1
"Hickman, Mr. Lewis",0
"Simonius-Blumer, Col. Oberst Alfons",1
"Gillespie, Mr. William Henry",0
"Graham, Miss. Margaret Edith",1
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",1
"Davies, Mr. Charles Henry",0
"Andersson, Miss. Erna Alexandra",1
"Pickard, Mr. Berk (Berk Trembisky)",1
"Beavan, Mr. William Thomas",0
"Lahoud, Mr. Sarkis",0
"Johnston, Mr. Andrew G",0
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",0
"Molson, Mr. Harry Markland",0
"Cardeza, Mr. Thomas Drake Martinez",1
"Lurette, Miss. Elise",1
"Elias, Mr. Joseph Jr",0
"Daly, Mr. Peter Denis ",1
"Wheadon, Mr. Edward H",0
"Ali, Mr. Ahmed",0
"de Mulder, Mr. Theodore",1
"Gustafsson, Mr. Alfred Ossian",0
"Williams-Lambert, Mr. Fletcher Fellows",0
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",0
"Barber, Miss. Ellen ""Nellie""",1
"Lefebre, Master. Henry Forbes",0
"Eustis, Miss. Elizabeth Mussey",1
"Sawyer, Mr. Frederick Charles",0
"Lemberopolous, Mr. Peter L",0
"Oreskovic, Mr. Luka",0
"Thomas, Master. Assad Alexander",1
"Pavlovic, Mr. Stefo",0
"Odahl, Mr. Nils Martin",0
"Leeni, Mr. Fahim (""Philip Zenni"")",1
"Moubarek, Master. Gerios",1
"Gill, Mr. John William",0
"Thayer, Mr. John Borland Jr",1
"Herman, Mrs. Samuel (Jane Laver)",1
"Bengtsson, Mr. John Viktor",0
"Albimona, Mr. Nassef Cassem",1
"Greenfield, Mr. William Bertram",1
"Hippach, Miss. Jean Gertrude",1
"Stone, Mrs. George Nelson (Martha Evelyn)",1
"Kvillner, Mr. Johan Henrik Johannesson",0
"Daniel, Mr. Robert Williams",1
"Palsson, Mrs. Nils (Alma Cornelia Berglund)",0
"Goodwin, Mrs. Frederick (Augusta Tyler)",0
"Endres, Miss. Caroline Louise",1
"McDermott, Miss. Brigdet Delia",1
"Turpin, Mr. William John Robert",0
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",1
"Dantcheff, Mr. Ristiu",0
"Mangan, Miss. Mary",0
"Hakkarainen, Mr. Pekka Pietari",0
"Parr, Mr. William Henry Marsh",0
"Slemen, Mr. Richard James",0
"Moor, Master. Meier",1
"Porter, Mr. Walter Chamberlain",0
"Radeff, Mr. Alexander",0
"Hirvonen, Miss. Hildur E",1
"Salonen, Mr. Johan Werner",0
"Stoytcheff, Mr. Ilia",0
"Mullens, Miss. Katherine ""Katie""",1
"Goldenberg, Mr. Samuel L",1
"Haas, Miss. Aloisia",0
"Hart, Mr. Henry",0
"Silvey, Mrs. William Baird (Alice Munger)",1
"Shutes, Miss. Elizabeth W",1
"Slabenoff, Mr. Petco",0
"Lennon, Mr. Denis",0
"Davidson, Mr. Thornton",0
"Knight, Mr. Robert J",0
"Leyson, Mr. Robert William Norman",0
"Fynney, Mr. Joseph J",0
"Hansen, Mr. Henrik Juul",0
"Brown, Mr. Thomas William Solomon",0
"Ball, Mrs. (Ada E Hall)",1
"Fischer, Mr. Eberhard Thelander",0
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1
"Andersson, Miss. Ingeborg Constanzia",0
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1
"Lines, Miss. Mary Conover",1
"Braund, Mr. Lewis Richard",0
"Elias, Mr. Tannous",0
"Nilsson, Miss. Helmina Josefina",1
"Strandberg, Miss. Ida Sofia",0
"Saad, Mr. Khalil",0
"Connaghton, Mr. Michael",0
"Vanden Steen, Mr. Leo Peter",0
"Nye, Mrs. (Elizabeth Ramell)",1
"Sandstrom, Miss. Marguerite Rut",1
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1
"Mellors, Mr. William John",1
"Bradley, Mr. George (""George Arthur Brayton"")",1
"Mamee, Mr. Hanna",1
"Hoyt, Mr. Frederick Maxfield",1
"Mitchell, Mr. Henry Michael",0
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",1
"Ilett, Miss. Bertha",1
"Dimic, Mr. Jovan",0
"Dennis, Mr. Samuel",0
"Mannion, Miss. Margareth",1
"Hart, Miss. Eva Miriam",1
"Hansen, Mr. Henry Damsgaard",0
"Laroche, Mr. Joseph Philippe Lemercier",0
"Rintamaki, Mr. Matti",0
"Trout, Mrs. William H (Jessie L)",1
"Perreault, Miss. Anne",1
"Moran, Mr. James",0
"Healy, Miss. Hanora ""Nora""",1
"Frost, Mr. Anthony Wood ""Archie""",0
"Gale, Mr. Shadrach",0
"Abelson, Mrs. Samuel (Hannah Wizosky)",1
"Markoff, Mr. Marin",0
"Jensen, Mr. Niels Peder",0
"Adams, Mr. John",0
"Heininen, Miss. Wendla Maria",0
"Yasbeck, Mrs. Antoni (Selini Alexander)",1
"Ponesell, Mr. Martin",0
"Landergren, Miss. Aurora Adelia",1
"Hagland, Mr. Ingvald Olai Olsen",0
"Yousseff, Mr. Gerious",0
"Karaic, Mr. Milan",0
"Rouse, Mr. Richard Henry",0
"Brown, Mrs. James Joseph (Margaret Tobin)",1
"Kraeff, Mr. Theodor",0
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1
